link,date
https://blog.netlab.360.com/smoke-loader-the-core-files-the-admin-panel-the-plugins-and-the-3rd-party-patch/,2024/11/18
https://blogs.blackberry.com/en/2021/05/strong-arming-with-macos-adventures-in-cross-platform-emulation,2024/11/18
https://www.zdnet.com/article/ukraine-warns-of-invisimole-attacks-tied-to-state-sponsored-russian-hackers/,2024/11/18
https://therecord.media/conti-ransomware-hits-apple-tesla-supplier/,2024/11/18
https://go.recordedfuture.com/hubfs/reports/cta-2020-0728.pdf,2024/11/18
https://www.proofpoint.com/us/blog/threat-insight/new-ta402-molerats-malware-targets-governments-middle-east,2024/11/18
https://blog.trendmicro.com/trendlabs-security-intelligence/new-banking-malware-uses-network-sniffing-for-data-theft/,2024/11/18
https://www.welivesecurity.com/2014/04/02/win32sality-newest-component-a-routers-primary-dns-changer-named-win32rbrute/,2024/11/18
https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-november-helix-kitten/,2024/11/18
https://www.bleepingcomputer.com/news/security/maine-govt-notifies-13-million-people-of-moveit-data-breach/,2024/11/18
https://attack.mitre.org/groups/G0024/,2024/11/18
https://www.bleepingcomputer.com/news/security/windows-msdt-zero-day-now-exploited-by-chinese-apt-hackers/,2024/11/18
https://www.bleepingcomputer.com/news/security/blackcat-ransomware-hits-azure-storage-with-sphynx-encryptor/,2024/11/18
https://anchorednarratives.substack.com/p/recover-your-files-with-strongpity,2024/11/18
https://www.securityweek.com/australian-electricity-provider-cs-energy-hit-ransomware,2024/11/18
https://newsroom.accenture.com/news/accenture-report-reveals-new-cybercrime-operating-model-among-high-profile-threat-groups.htm,2024/11/18
https://www.cisa.gov/resources-tools/resources/how-protect-against-iranian-targeting-accounts-associated-national-political-organizations,2024/11/18
https://dragos.com/resource/north-american-electric-cyber-threat-perspective/,2024/11/18
https://research.checkpoint.com/2023/guarding-against-the-unseen-investigating-a-stealthy-remcos-malware-attack-on-colombian-firms/,2024/11/18
https://www.darkreading.com/attacks-breaches/hangover-persists-more-mac-malware-found/d/d-id/1140147,2024/11/18
https://www.zdnet.com/article/a-hacker-group-is-selling-more-than-73-million-user-records-on-the-dark-web/,2024/11/18
https://www.computing.co.uk/news/4012969/hospitals-coronavirus-ransomware,2024/11/18
https://www.welivesecurity.com/2022/12/14/unmasking-mirrorface-operation-liberalface-targeting-japanese-political-entities/,2024/11/18
http://www.dw.com/en/hackers-lurking-parliamentarians-told/a-19564630,2024/11/18
https://www.mandiant.com/resources/unc2165-shifts-to-evade-sanctions,2024/11/18
https://aavar.org/avar2018/index.php/the-easternroppels-operation-platinum-group-is-back/,2024/11/18
https://www.cybereason.com/blog/threat-alert-havanacrypt-ransomware-masquerading-as-google-update,2024/11/18
https://www.crowdstrike.com/blog/imperial-kitten-deploys-novel-malware-families/,2024/11/18
https://www.wired.com/2016/03/inside-cunning-unprecedented-hack-ukraines-power-grid/,2024/11/18
https://www.bleepingcomputer.com/news/security/it-services-giant-cognizant-suffers-maze-ransomware-cyber-attack/,2024/11/18
https://www.secuinfra.com/en/techtalk/whatever-floats-your-boat-bitter-apt-continues-to-target-bangladesh/,2024/11/18
https://blog.fox-it.com/2017/12/12/criminals-in-a-festive-mood/,2024/11/18
https://blog.malwarebytes.com/threat-intelligence/2021/12/sidecopy-apt-connecting-lures-to-victims-payloads-to-infrastructure/,2024/11/18
https://www.zdnet.com/article/us-charges-two-chinese-nationals-for-hacking-cloud-providers-nasa-the-us-navy/,2024/11/18
https://therecord.media/fbi-jbs-ransomware-attack-was-carried-out-by-revil/,2024/11/18
https://exchange.xforce.ibmcloud.com/threat-group/guid:2f1962c4d7c0c994981c5bc363823c44,2024/11/18
http://cdn2.hubspot.net/hubfs/454298/Project_CAMERASHY_ThreatConnect_Copyright_2015.pdf?t=1443030820943&submissionGuid=81f1c199-859f-41e9-955b-2eec13777720,2024/11/18
https://securereading.com/egregor-ransomware-attacked-hr-giant-randstad/,2024/11/18
https://www.reuters.com/technology/cybersecurity/fbi-says-chinese-hackers-preparing-attack-us-infrastructure-2024-04-18/,2024/11/18
http://investigations.nbcnews.com/_news/2013/06/06/18807056-chinese-hacked-obama-mccain-campaigns-took-internal-documents-officials-say,2024/11/18
https://blog.google/threat-analysis-group/countering-threats-north-korea/,2024/11/18
https://www.trendmicro.com/en_us/research/24/e/earth-hundun-2.html,2024/11/18
https://www.bleepingcomputer.com/news/security/ragnarlocker-ransomware-hits-edp-energy-giant-asks-for-10m/,2024/11/18
https://research.checkpoint.com/2021/irans-apt34-returns-with-an-updated-arsenal/,2024/11/18
https://www.volkskrant.nl/tech/dutch-agencies-provide-crucial-intel-about-russia-s-interference-in-us-elections~a4561913/,2024/11/18
https://www.washingtonpost.com/politics/2019/11/04/an-indian-nuclear-power-plant-suffered-cyberattack-heres-what-you-need-know/,2024/11/18
https://therecord.media/us-japan-say-chinese-hackers-routers,2024/11/18
https://www.zdnet.com/article/new-emotet-attacks-use-fake-windows-update-lures/,2024/11/18
https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/08064459/Equation_group_questions_and_answers.pdf,2024/11/18
https://blogs.blackberry.com/en/2023/03/nobelium-targets-eu-governments-assisting-ukraine,2024/11/18
https://asec.ahnlab.com/en/56756/,2024/11/18
https://www.welivesecurity.com/2022/10/20/domestic-kitten-campaign-spying-iranian-citizens-furball-malware/,2024/11/18
https://blogs.blackberry.com/en/2022/07/gootloader-from-seo-poisoning-to-multi-stage-downloader,2024/11/18
https://scpc.gov.ua/api/docs/19b0a96e-8c31-44bf-863e-cd3e0b651f22/19b0a96e-8c31-44bf-863e-cd3e0b651f22.pdf,2024/11/18
https://blog.google/threat-analysis-group/update-threat-landscape-ukraine/,2024/11/18
https://www.crowdstrike.com/blog/big-game-hunting-the-evolution-of-indrik-spider-from-dridex-wire-fraud-to-bitpaymer-targeted-ransomware/,2024/11/18
https://www.tgsoft.it/news/news_archivio.asp?id=1557&lang=eng,2024/11/18
https://www.wsj.com/articles/iranian-hackers-infiltrated-new-york-dam-in-2013-1450662559,2024/11/18
https://www.bleepingcomputer.com/news/security/coinspaid-blames-lazarus-hackers-for-theft-of-37-300-000-in-crypto/,2024/11/18
https://www.proofpoint.com/us/blog/threat-insight/security-brief-ta450-uses-embedded-links-pdf-attachments-latest-campaign,2024/11/18
https://www.bleepingcomputer.com/news/security/chinese-nation-state-hackers-linked-to-finnish-parliament-hack/,2024/11/18
https://www.cisa.gov/sites/default/files/publications/Joint_FBI-CISA_PSA_PRC_Targeting_of_COVID-19_Research_Organizations_S508C.pdf.pdf,2024/11/18
https://securelist.com/an-analysis-of-regins-hopscotch-and-legspin/68438/,2024/11/18
https://www.darkreading.com/vulnerabilities-threats/everything-you-need-to-know-about-blackcat-alphav-,2024/11/18
https://securingtomorrow.mcafee.com/other-blogs/mcafee-labs/analyzing-operation-ghostsecret-attack-seeks-to-steal-data-worldwide/,2024/11/18
https://www.scribd.com/doc/13731776/Tracking-GhostNet-Investigating-a-Cyber-Espionage-Network,2024/11/18
